post;type
Wenn ich meine Freundin zum Essen einlade, gehen wir meistens zum Italiener um die Ecke. Dort gibt es nicht nur die beste  Pizza der Stadt, sondern auch einen super leckeren Wein;I
Mein Lieblingsrestaurant hat eine gut bürgerliche Küche. Hier esse ich am liebsten Schnitzel und trinke dazu ein Bier.;D
Pizza und Wein und alles ist fein!;I
Ich mag italienische Pizza und vor allem Wein;I
Für mich besteht ein gutes Essen aus einem großen Schnitze und dazu gehört auch ein Bier;D
Stimme ich zu, ein gutes Restaurant hat für mich Schnitzel und Bier;D
Pizza, Pasta, Salat, egal wichtig ist italienische Küche! Ein guter Wein darf auch nicht fehlen.;I
Das seh ich genau so. Wenn ich im Restaurant bin braucht es auf jeden Fall einen guten Wein und einen Salat als Vorspeise. Ob dann Pizza oder Pasta ist mir egal;I
Ich gehe nur deutsch Essen. Wenn ich im Restaurant bin dann braucht es Schnitzel und Bier, das reicht!;D
Schnitzel in allen Varianten und Bier vom Fass, das muss ein gutes Restaurant zu bieten haben;D
Wein ist super und nichts geht über Pizza! Nur mit Salat kann ich nichts anfangen;I
In einem deutschen Restaurant bestelle ich mir zu einem panierten Schnitzel ein Bier vom Fass;D
Am liebsten sitze ich im Sommer bei meinem Lieblingsitaliener draußen bei einem Glas Wein und einer Pizza;I
Ach was, Bier und Schnitzel das ist es! Hauptsache deutsch!;D
